"V1" "V4"
"ENSG00000128607" 12
"ENSG00000055163" 28
"ENSG00000236032" 19
"ENSG00000011243" 18
"ENSG00000148704" 10
"ENSG00000182134" 9
"ENSG00000137747" 12
"ENSG00000204577" 6
"ENSG00000104974" 32
"ENSG00000176597" 8
"ENSG00000239998" 23
"ENSG00000273884" 17
"ENSG00000157110" 2
"ENSG00000176566" 40
"ENSG00000168461" 9
"ENSG00000211455" 11
"ENSG00000065526" 53
"ENSG00000135108" 8
"ENSG00000075914" 5
"ENSG00000135472" 4
"ENSG00000125107" 45
"ENSG00000133317" 15
"ENSG00000080371" 4
"ENSG00000125868" 3
"ENSG00000105963" 11
"ENSG00000121270" 33
"ENSG00000129465" 11
"ENSG00000069509" 3
"ENSG00000237388" 10
"ENSG00000171295" 13
"ENSG00000155545" 10
"ENSG00000267508" 15
"ENSG00000138684" 3
"ENSG00000205838" 8
"ENSG00000110172" 4
"ENSG00000173200" 20
"ENSG00000183401" 4
"ENSG00000173928" 2
"ENSG00000162892" 10
"ENSG00000128185" 2
"ENSG00000251322" 37
"ENSG00000140284" 9
"ENSG00000143554" 8
"ENSG00000241241" 4
"ENSG00000133710" 36
"ENSG00000142945" 12
"ENSG00000175602" 2
"ENSG00000186818" 21
"ENSG00000188800" 9
"ENSG00000177151" 4
"ENSG00000164291" 3
"ENSG00000139278" 7
"ENSG00000153347" 10
"ENSG00000185009" 6
"ENSG00000070756" 13
"ENSG00000177599" 15
"ENSG00000197044" 11
"ENSG00000121542" 5
"ENSG00000117010" 9
"ENSG00000121897" 4
"ENSG00000100505" 22
"ENSG00000167757" 8
"ENSG00000146872" 13
"ENSG00000187701" 18
"ENSG00000136240" 5
"ENSG00000158164" 2
"ENSG00000170653" 5
"ENSG00000100196" 4
"ENSG00000099203" 5
"ENSG00000124380" 4
"ENSG00000166801" 7
"ENSG00000189042" 22
"ENSG00000177034" 5
"ENSG00000185261" 38
"ENSG00000178015" 5
"ENSG00000101194" 12
"ENSG00000170419" 8
"ENSG00000169570" 4
"ENSG00000131044" 15
"ENSG00000101363" 3
"ENSG00000189037" 5
"ENSG00000178150" 7
"ENSG00000205108" 12
"ENSG00000198746" 5
"ENSG00000104951" 12
"ENSG00000125814" 6
"ENSG00000162891" 3
"ENSG00000164620" 3
"ENSG00000221886" 12
"ENSG00000120332" 51
"ENSG00000127586" 15
"ENSG00000154529" 3
"ENSG00000198026" 27
"ENSG00000187288" 1
"ENSG00000062598" 14
"ENSG00000188428" 2
"ENSG00000178234" 10
"ENSG00000174132" 3
"ENSG00000175520" 26
"ENSG00000103522" 19
"ENSG00000182870" 19
"ENSG00000105929" 28
"ENSG00000127318" 6
"ENSG00000023892" 13
"ENSG00000198399" 32
"ENSG00000120333" 4
"ENSG00000198046" 34
"ENSG00000050393" 7
"ENSG00000100982" 12
"ENSG00000188283" 12
"ENSG00000125877" 4
"ENSG00000100605" 12
"ENSG00000132623" 14
"ENSG00000137825" 7
"ENSG00000196236" 14
"ENSG00000143772" 20
"ENSG00000166869" 5
"ENSG00000150995" 59
"ENSG00000123104" 59
"ENSG00000055955" 16
"ENSG00000138161" 23
"ENSG00000113263" 19
"ENSG00000134910" 11
"ENSG00000179409" 7
"ENSG00000144445" 23
"ENSG00000184949" 11
"ENSG00000242265" 17
"ENSG00000125967" 6
"ENSG00000206314" 4
"ENSG00000204315" 6
"ENSG00000218891" 18
"ENSG00000198168" 1
"ENSG00000142025" 8
"ENSG00000107077" 16
"ENSG00000162434" 25
"ENSG00000148840" 34
"ENSG00000096968" 27
"ENSG00000105639" 24
"ENSG00000196227" 12
"ENSG00000082805" 18
"ENSG00000110723" 39
"ENSG00000104228" 4
"ENSG00000096433" 42
"ENSG00000130643" 4
"ENSG00000128928" 5
"ENSG00000163207" 45
"ENSG00000184916" 18
"ENSG00000105778" 11
"ENSG00000146205" 14
"ENSG00000142700" 21
"ENSG00000176399" 10
"ENSG00000171223" 12
"ENSG00000145819" 15
"ENSG00000130522" 1
"ENSG00000119685" 22
"ENSG00000143006" 18
"ENSG00000173801" 11
"ENSG00000105738" 36
"ENSG00000054523" 34
"ENSG00000124313" 13
"ENSG00000155111" 13
"ENSG00000004139" 3
"ENSG00000135241" 12
"ENSG00000169155" 10
"ENSG00000008083" 27
"ENSG00000163803" 28
"ENSG00000102935" 46
"ENSG00000177606" 6
"ENSG00000123200" 39
"ENSG00000139330" 6
"ENSG00000162616" 8
"ENSG00000136002" 13
"ENSG00000101191" 43
"ENSG00000164283" 6
"ENSG00000134249" 19
"ENSG00000168594" 46
"ENSG00000139718" 39
"ENSG00000197647" 20
"ENSG00000092853" 21
"ENSG00000177301" 14
"ENSG00000177272" 15
"ENSG00000180357" 24
"ENSG00000182255" 29
"ENSG00000197226" 20
"ENSG00000103365" 9
"ENSG00000062650" 18
"ENSG00000107290" 38
"ENSG00000127463" 13
"ENSG00000162426" 19
"ENSG00000144712" 23
"ENSG00000163947" 14
"ENSG00000011201" 19
"ENSG00000085117" 3
"ENSG00000111262" 24
"ENSG00000165698" 5
"ENSG00000196363" 4
"ENSG00000160325" 2
"ENSG00000219545" 3
"ENSG00000160323" 32
"ENSG00000154736" 41
"ENSG00000120471" 3
"ENSG00000134917" 19
"ENSG00000150687" 7
"ENSG00000102057" 12
"ENSG00000137177" 42
"ENSG00000102763" 41
"ENSG00000164600" 16
"ENSG00000178403" 3
"ENSG00000173875" 17
"ENSG00000185304" 2
"ENSG00000142611" 34
"ENSG00000158604" 1
"ENSG00000147596" 15
"ENSG00000141956" 24
"ENSG00000132436" 15
"ENSG00000131398" 12
"ENSG00000137200" 14
"ENSG00000242852" 12
"ENSG00000116396" 12
"ENSG00000023318" 5
"ENSG00000002746" 54
"ENSG00000249709" 12
"ENSG00000133789" 14
"ENSG00000160208" 8
"ENSG00000005810" 71
"ENSG00000130037" 42
"ENSG00000070778" 26
"ENSG00000151079" 29
"ENSG00000104848" 10
"ENSG00000143105" 25
"ENSG00000158445" 35
"ENSG00000129159" 13
"ENSG00000166006" 27
"ENSG00000164197" 22
"ENSG00000153006" 7
"ENSG00000162989" 34
"ENSG00000178187" 25
"ENSG00000168135" 16
"ENSG00000123700" 7
"ENSG00000167619" 7
"ENSG00000188368" 8
"ENSG00000184408" 44
"ENSG00000171385" 23
"ENSG00000180509" 3
"ENSG00000162975" 15
"ENSG00000269791" 1
"ENSG00000026559" 25
"ENSG00000143473" 34
"ENSG00000055118" 30
"ENSG00000151704" 14
"ENSG00000182324" 6
"ENSG00000157551" 18
"ENSG00000170004" 28
"ENSG00000173575" 40
"ENSG00000153922" 28
"ENSG00000180198" 8
"ENSG00000070748" 26
"ENSG00000136161" 15
"ENSG00000136457" 7
"ENSG00000120457" 11
"ENSG00000157542" 10
"ENSG00000197782" 16
"ENSG00000121361" 22
"ENSG00000162728" 8
"ENSG00000177807" 4
"ENSG00000187486" 10
"ENSG00000198610" 9
"ENSG00000184185" 34
"ENSG00000111642" 38
"ENSG00000115474" 5
"ENSG00000205078" 6
"ENSG00000105642" 9
"ENSG00000080709" 16
"ENSG00000143603" 12
"ENSG00000104783" 14
"ENSG00000188419" 14
"ENSG00000100288" 7
"ENSG00000133063" 15
"ENSG00000064886" 7
"ENSG00000133048" 12
"ENSG00000089199" 46
"ENSG00000100604" 7
"ENSG00000111816" 12
"ENSG00000053254" 7
"ENSG00000149554" 7
"ENSG00000153822" 20
"ENSG00000152467" 30
"ENSG00000135750" 8
"ENSG00000082482" 21
"ENSG00000171303" 4
"ENSG00000156113" 29
"ENSG00000145936" 7
"ENSG00000110721" 11
"ENSG00000170745" 17
"ENSG00000128052" 45
"ENSG00000197993" 35
"ENSG00000180720" 7
"ENSG00000133019" 32
"ENSG00000143669" 61
"ENSG00000181072" 30
"ENSG00000168539" 9
"ENSG00000152443" 11
"ENSG00000171649" 17
"ENSG00000152433" 7
"ENSG00000106069" 8
"ENSG00000128656" 16
